"","Name","Brands","Discounted_Price","Original_Price","Ratings","Sponsorship"
"71","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Mathematics Quote Physics, Chemistry, Computer Science, Engineering (X-Large, Black)","Qworld","5,836","999","1.0","Not Sponsered"
"72","Sports Soccer Football Mbappe 7 Messi Neymar Black Jersey Football T-Shirt with Shorts 2023-24(Kid's, Boy's & Men's)","Generic","599","999","4.2","Not Sponsered"
"73","AXIS Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for AXIS Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","399","1,299","4.1","Not Sponsered"
"74","Men's Solid Regular Fit T-Shirt","DAMENSCH","500","649","4.0","Not Sponsered"
"75","Regular Fit Cotton Blend Tshirt Half Sleeve Crew Neck Comfortable Casual Lightweight Premium Vortex Elemental Breeeze Tshirts for Men Pack of 1","DAMENSCH","647","649","4.1","Not Sponsered"
"76","IM21 Men's Super Combed Supima Cotton Solid Round Neck Half Sleeve T-Shirt","Jockey","499","999","4.0","Not Sponsered"
"77","Plus Size T-shirt, Pocket Panda Unisex T-Shirt, Round neck, Regular","Toodlegram","499","1,000","No Rating","Not Sponsered"
"78","SpaceX T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men","DUDEME","749","1,499","3.6","Not Sponsered"
"79","Diverge Black Tipping Polo Collar Pure Cotton White T-Shirt | 100% Cotton | Contrast Metal Zipper | Pique Knit | Ideal for Casual Workdays & Lounging","KINGDOM OF WHITE","599","999","No Rating","Not Sponsered"
"80","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirt | Human Evolution T-Shirt | Sarcasam T-Shirt | Half Sleeve | Round Neck T Shirt | 100% Cotton T-Shirt | Funny Tee Shirt","Workshop","499","1,299","3.5","Not Sponsered"
"81","YES Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for YES Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","599","945","1.5","Not Sponsered"
"82","Stardust Men Half Sleeve Cotton T-Shirt","Duke","449","999","No Rating","Not Sponsered"
"83","All E-Money Logo Printed Polo/Collar Half Sleeve T-Shirt for E-Money Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","499","999","3.2","Not Sponsered"
"84","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Gravity Quote Physics, Chemistry, Computer Science, Engineering Black","Qworld","499","1,299","4.6","Not Sponsered"
"85","Union Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for Union Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","449","1,199","5.0","Not Sponsered"
"86","Mens T-Shirt Two Kinds of People - Incomplete Data","Blittzen","899","1,299","No Rating","Not Sponsered"
"87","Bengaluru Logo T-Shirt","1947IND.","499","999","4.0","Not Sponsered"
"88","IDBI Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for IDBI Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","999","1,295","5.0","Not Sponsered"
"89","Developer Tshirts Printed T-Shirt for Men & Women | My Comfort Zone | Science | Programmer Tshirts | Coding Tshirt | Half Sleeve T-Shirt |Tshirts for Coders | Engineer Tshirt","T-shirt Truck","399","999","4.5","Not Sponsered"
"90","Stardust Men Half Sleeve Cotton T-Shirt","Duke","649","1,000","4.1","Sponsered"
"91","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirts Coding Coder T Shirt | Hindi Slogan Java Developer Tshirts | Round Neck Tees | 100% Cotton T Shirts | Half Sleeve Tshirt","Workshop","449","1,199","4.0","Sponsered"
"92","Trust Me I'm a Programmer Half Sleeve 100% Cotton 180 GSM T-Shirt","DUDEME","499","1,000","No Rating","Sponsered"
"93","IM21 Men's Super Combed Supima Cotton Solid Round Neck Half Sleeve T-Shirt","Jockey","449","999","3.9","Sponsered"
"94","Men's Round Neck Cotton Blend Half Sleeve","SUBHEE","399","899","No Rating","Not Sponsered"
"95","Born to Code T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men","DUDEME","499","999","No Rating","Not Sponsered"
"96","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering Dark Navy","Qworld","599","999","5.0","Not Sponsered"
"97","Oversized Pure Cotton Black T Shirt - Texas","MakeitBharat","599","999","3.7","Not Sponsered"
"98","Graphic Printed T-Shirt for Men & Women | Funny Urban Quote T-Shirts Coder Tshirt | Hindi Slogan Tee Algorithm Tshirts | Round Neck Tees | 100% Cotton T Shirts | Short Sleeve Tshirt","Workshop","824","1,299","5.0","Not Sponsered"
"99","Graphic Printed T-Shirt for Men & Women | Saitama from one Punch Man says ok Manga, Punch, one, Hero Anime t Shirts","Workshop","448","999","No Rating","Not Sponsered"
"100","Graphic Printed T-Shirt for Men & Women | I Make Bugs That no one can debug Tshirt Unisex Geek Coder tees","Workshop","499","2,000","4.3","Not Sponsered"
"101","Women's Crop Top Talk Data to Me - Data Scientist Funny 100% Cotton","Heybroh","499","1,299","3.7","Not Sponsered"
"102","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirts Relex Coder is here | Keep Calm Coding Tshirts | Round Neck Tees | 100% Cotton T Shirts | Half Sleeve Java Tshirt","Workshop","499","999","4.0","Not Sponsered"
"103","Programmers Life No Hugs and Kisses Only Bugs and Fixes | Geek Unisex Hoodie | Coding Hoodie for Coders | Programmer Hoodie","DUDEME","989
                       
                        .","999","No Rating","Not Sponsered"
"104","LIC Logo Printed Polo/Collar Half Sleeve T-Shirt for LIC Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","649","999","4.6","Not Sponsered"
"105","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Gravity Quote Physics, Chemistry, Computer Science, Engineering Black","Qworld","449","999","5.0","Not Sponsered"
"106","Graphic Printed T-Shirt for Men & Women | Geek T-Shirt Funny Quotes geekers Birthday Best Gifts Tees","Workshop","499","1,299","2.8","Not Sponsered"
"107","Graphic Printed T-Shirt for Men & Women | Kyubi Naruto Seal T-Shirt Hokage Ninja Kyubi Kurama Seal Mark Naruto Tshirts","Workshop","698","999","4.5","Not Sponsered"
"108","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Last Name is Khan","Caseria","499","999","4.8","Not Sponsered"
"109","PNB Bank Logo Printed Polo/Collar Half Sleeve T-Shirt for PNB Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","599","999","No Rating","Not Sponsered"
"110","Graphic Printed T-Shirt for Men & Women | Funny Quote Cotton T-Shirt I am Freelancer Sarcasam T-Shirt | Swag T Shirt | Round Neck T Shirts Short Sleeve tees","Workshop","599","1,499","No Rating","Not Sponsered"
"111","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve Love is Complex Quote Physics, Chemistry, Computer Science, Engineering","Qworld","499","999","4.0","Not Sponsered"
"112","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Quote of Physics, Chemistry, Computer Science, Engineering","Qworld","399","999","4.4","Not Sponsered"
"113","Moon Black Mandarin Collar Pure Cotton White T-Shirt | 100% Cotton | Contrast Collar & Zipper Detail | Perfect for Casual Outings & Relaxing Journeys","KINGDOM OF WHITE","697","999","4.5","Not Sponsered"
"114","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirts Java Developer T Shirt | Programming and Coding Tshirts | Round Neck Tees | 100% Cotton T Shirts | Half Sleeve Tshirt","Workshop","2,490","699","4.4","Not Sponsered"
"115","Workshop Graphic Printed T-Shirt for Men & Women | Geek Tshirts, Big Bang Theory Funny Quotes Tees TBBT octor Sheldon Cooper","Workshop","499","1,499","No Rating","Not Sponsered"
"116","Graphic Printed T-Shirt for Men & Women | Kakashi Sensei t Shirts, Kakashi Hatake Manga, Anime Tshirts","Workshop","379","1,999","3.9","Not Sponsered"
"117","If You are Waiting for The Right Time It's Now Quotes T-Shirt for Men - Full Sleeve","High on Soda","599","1,299","2.7","Not Sponsered"
"118","Converge Black & Red Striped Polo Neck Cotton White T-Shirt | 100% Cotton | Distinctive Contrast Collar & Cuff | Perfect for Casual Days, Brunches & Outdoor Events","KINGDOM OF WHITE","449","999","5.0","Not Sponsered"
"119","PSG Paris Germain Saint Black Football Jersey Set T-Shirt and Shorts","SPORTYWAY","568","1,999","4.5","Not Sponsered"
"120","Bank of Baroda Logo Printed Polo/Collar Half Sleeve T-Shirt for Bank of Baroda Staff Employee Promotion T Shirt for Men and Women","American Apple","499","999","3.4","Not Sponsered"
"121","Graphic Printed T-Shirt for Men & Women | Naruto t Shirts Takashi, Manga Anime tee Shirts","Workshop","799","999","5.0","Not Sponsered"
"122","Men's Sports Running Set Compression Shirt + Pants Skin-Tight Long Sleeves Quick Dry Fitness Tracksuit Gym Yoga Suits (Set of 2)","JUST RIDER","499","999","No Rating","Not Sponsered"
"123","Graphic Printed T-Shirt for Men & Women | Funny Quote T-Shirts Hard Coder T Shirt | Hindi Slogan Java Developer Tshirts | Round Neck Tees | 100% Cotton T Shirts | Half Sleeve Tshirt","Workshop","599","999","No Rating","Not Sponsered"
"124","Unisex T-Shirt","Qworld","579","1,299","4.3","Not Sponsered"
"125","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering Black","Qworld","499","999","No Rating","Not Sponsered"
"126","Graphic Printed T-Shirt for Men & Women | Naruto-Sasuke t Shirts Naruto-Shippuden-Anime, Anime-Gift tee Shirt","Workshop","599","1,000","5.0","Sponsered"
"127","ONGC Logo Printed Polo/Collar Half Sleeve T-Shirt for ONGC Bank Staff Employee Promotion T Shirt for Men and Women","I AM ROMPER","499","999","4.5","Sponsered"
"128","Men's Regular Fit I Am Engineer Cotton Printed V Neck Half Sleeves Black & White T Shirt. Trending, Trendy,Pootlu, College Tshirts","OPLU","599","999","5.0","Sponsered"
"129","Stretch Fit Hat","Callaway","649","999","5.0","Sponsered"
"130","Touch My Computer I Will Cut You T-Shirt, 100% Cotton T-Shirts for Programmer, Coding, Developer, Software Mens, Round Neck T Shirts for Women, Half Sleeve Tshirt for Men","DUDEME","599","649","4.1","Sponsered"
"131","by Bodycare Men's 100% Cotton Half Sleeve Solid Round Neck T-Shirt","LIT","568","1,499","4.2","Sponsered"
"132","Men's Graphic Printed Oversized Loose Fit Heavy Cotton T-Shirt","NOBERO","552","2,499","5.0","Sponsered"
"133","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Science It's Like Magic","Caseria","749","999","3.9","Sponsered"
